Name,LOC,CYCLO,MAXNESTING,NOAV,ATFD,LAA,FDP,BrainMethod
unclosedTagsWithDollar,6,1,0,4,0,1,0,0
noSpacesBetweenTags,9,1,0,5,0,1,0,0
testTextInTag,6,1,0,4,0,1,0,0
testInlineCss,4,1,0,3,0,1,0,0
testComplexHtmlScript,8,1,0,5,0,1,0,0
testHtmlScriptWithAttribute,9,1,0,6,0,1,0,0
testImportHtmlScript,11,1,0,8,0,1,0,0
testQuotedELInHtmlScript,10,1,0,7,0,1,0,0
testInlineCommentInEL,10,1,0,7,0,1,0,0
testELInHtmlScript,10,1,0,7,0,1,0,0
testELInTagValueWithCommentSQ,9,1,0,6,0,1,0,0
testELInTagValueWithCommentDQ,8,1,0,6,0,1,0,0
testELInTagValue,9,1,0,6,0,1,0,0
testHtmlScript,7,1,0,5,0,1,0,0
testDoctype,16,1,0,7,0,1,0,0
testCData,7,1,0,4,0,1,0,0
testAttributeValueContainingHash,20,1,0,4,0,1,0,0
testElementAttributeAndNamespace,22,1,0,7,0,1,0,0
testSimplestVf,4,1,0,3,0,1,0,0
element,5,1,0,3,1,0.5,1,0
openedIsolatedTag,24,1,0,7,0,1,0,0
interleavedTags,21,1,0,6,0,1,0,0
unopenedTags,20,1,0,5,0,1,0,0
doubleNesting,14,1,0,4,0,1,0,0
testSimpleNesting,11,1,0,3,0,1,0,0
newRegister,3,1,0,0,0,1,0,0
clone,3,1,0,1,0,1,0,0
VfParsingHelper,3,1,0,0,0,1,0,0
VfParserVisitorAdapter,0,0,0,0,0,1,0,0
visit,3,1,0,1,0,1,0,0
visit,3,1,0,1,0,1,0,0
visit,3,1,0,1,0,1,0,0
visit,3,1,0,1,0,1,0,0
visit,3,1,0,1,0,1,0,0
visit,3,1,0,1,0,1,0,0
visit,3,1,0,1,0,1,0,0
visit,3,1,0,1,0,1,0,0
visit,3,1,0,1,0,1,0,0
visit,3,1,0,1,0,1,0,0
visit,3,1,0,1,0,1,0,0
visit,3,1,0,1,0,1,0,0
visit,3,1,0,1,0,1,0,0
visit,3,1,0,1,0,1,0,0
visit,3,1,0,1,0,1,0,0
visit,3,1,0,1,0,1,0,0
visit,3,1,0,1,0,1,0,0
visit,3,1,0,1,0,1,0,0
visit,4,1,0,2,0,1,0,0
getRuleName,3,1,0,0,0,1,0,0
getLine,3,1,0,0,0,1,0,0
SyntaxErrorException,5,1,0,0,0,1,0,0
getMessage,5,1,0,0,0,1,0,0
getStartLine,3,1,0,0,0,1,0,0
getStartColumn,3,1,0,0,0,1,0,0
getEndLine,3,1,0,0,0,1,0,0
getEndColumn,3,1,0,0,0,1,0,0
StartAndEndTagMismatchException,10,1,0,0,0,1,0,0
jjtAccept,3,1,0,2,0,1,0,0
ASTText,3,1,0,0,0,1,0,0
ASTText,3,1,0,0,0,1,0,0
jjtAccept,3,1,0,2,0,1,0,0
ASTNegationExpression,3,1,0,0,0,1,0,0
ASTNegationExpression,3,1,0,0,0,1,0,0
jjtAccept,3,1,0,2,0,1,0,0
ASTLiteral,3,1,0,0,0,1,0,0
ASTLiteral,3,1,0,0,0,1,0,0
jjtAccept,3,1,0,2,0,1,0,0
ASTIdentifier,3,1,0,0,0,1,0,0
ASTIdentifier,3,1,0,0,0,1,0,0
jjtAccept,3,1,0,2,0,1,0,0
ASTHtmlScript,3,1,0,0,0,1,0,0
ASTHtmlScript,3,1,0,0,0,1,0,0
jjtAccept,3,1,0,2,0,1,0,0
ASTExpression,3,1,0,0,0,1,0,0
ASTExpression,3,1,0,0,0,1,0,0
jjtAccept,3,1,0,2,0,1,0,0
ASTElExpression,3,1,0,0,0,1,0,0
ASTElExpression,3,1,0,0,0,1,0,0
jjtAccept,3,1,0,2,0,1,0,0
setEmpty,3,1,0,0,0,1,0,0
setUnclosed,3,1,0,0,0,1,0,0
isUnclosed,3,1,0,0,0,1,0,0
